NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2009;33;RJ;3303302;Niterói;33161429;COLEGIO E CURSO PONTO DE ENSINO - UNIDADE NITEROI;4;1;85;;241;100.00;636.99;645.68;629.95;651.22;666.52;;;;;;79.30;20.70;0.00;De 61 a 90 alunos
2010;33;RJ;3303302;Niterói;33161429;COLEGIO E CURSO PONTO DE ENSINO - UNIDADE NITEROI;4;1;101;;245;100.00;604.92;657.53;609.2;693.51;686.93;;;;;;98.30;1.70;0.00;Maior que 90 alunos
2012;33;RJ;3303302;Niterói;33161429;COLEGIO E CURSO PONTO DE ENSINO;4;1;94;;88;93.62;591.35;630.6;570.52;699.23;676.82;;;;;;96.00;3.60;0.40;Maior que 90 alunos
2013;33;RJ;3303302;Niterói;33161429;COLEGIO E CURSO PONTO DE ENSINO;4;1;72;0;62;86.11;605.52;645.97;587.54;675.15;685.81;;;;73.10;;93.50;6.50;0.00;De 61 a 90 alunos
2011;33;RJ;3303302;Niterói;33161429;COLEGIO E CURSO PONTO DE ENSINO;4;1;112;;91;81.25;593.86;598.6;609.48;695.75;703.30;;;;;;85.90;14.10;0.00;Maior que 90 alunos
2014;33;RJ;3303302;Niterói;33161429;COLEGIO E CURSO PONTO DE ENSINO;4;1;72;0;70;97.22;591.46;646.73;581.91;636.91;713.71;;;;61.90;55.71;91.90;8.10;0.00;De 61 a 90 alunos
2015;33;RJ;3303302;Niterói;33161429;COLEGIO E CURSO PONTO DE ENSINO;4;1;68;0;68;100.00;564.34;643.65;576.93;616.97;734.71;;;Grupo 6;77.80;44.12;83.70;16.30;0.00;De 61 a 90 alunos
2013;33;RJ;3303302;Niterói;33165920;COLEGIO E CURSO PONTO DE ENSINO;4;1;39;0;35;89.74;676.79;706.26;644.26;783.39;789.71;;;;78.20;;87.60;12.40;0.00;De 31 a 60 alunos
2014;33;RJ;3303302;Niterói;33165920;COLEGIO E CURSO PONTO DE ENSINO;4;1;16;0;15;93.75;671.63;708.33;622.07;843.4;788.00;;;;83.00;33.33;84.70;15.30;0.00;De 1 a 30 alunos
2015;33;RJ;3303302;Niterói;33165920;COLEGIO E CURSO PONTO DE ENSINO;4;1;41;0;41;100.00;667.97;706.46;639.8;804.13;814.63;;;Grupo 6;64.60;31.71;72.00;28.00;0.00;De 31 a 60 alunos
